,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoline_type,price,emi_per_month,zero_downpayment,city,state
4016,Maruti Alto,Maruti,LXI ,2020,Manual,2359,1,Petrol,17899,296,Zero downpayment,Pune,Maharashtra
4017,Maruti Wagon R 1.0,Maruti,VXI ,2014,Manual,33103,2,Petrol,56799,937,Zero downpayment,Pune,Maharashtra
4018,Honda Brio,Honda,1.2 S MT I VTEC ,2015,Manual,30642,1,Petrol,6099,33,Zero downpayment,Pune,Maharashtra
4019,Maruti Wagon R 1.0,Maruti,VXI AMT ,2016,Automatic,36288,1,Petrol,77899,631,Zero downpayment,Pune,Maharashtra
4020,Hyundai Grand i10,Hyundai,SPORTZ 1.2 KAPPA VTVT ,2016,Manual,12258,2,Petrol,28699,761,Zero downpayment,Pune,Maharashtra
4021,Maruti Wagon R 1.0,Maruti,VXI ,2017,Manual,25483,1,Petrol,75099,568,Zero downpayment,Pune,Maharashtra
4022,Hyundai Grand i10,Hyundai,SPORTS 1.2 VTVT ,2018,Manual,14840,1,Petrol,34899,899,Zero downpayment,Pune,Maharashtra
4023,Maruti Alto K10,Maruti,VXI ,2017,Manual,48658,1,Petrol,49499,774,Zero downpayment,Pune,Maharashtra
4024,Maruti Alto 800,Maruti,LXI ,2017,Manual,15575,1,Petrol,90799,469,Zero downpayment,Pune,Maharashtra
4025,Maruti Alto 800,Maruti,LXI ,2018,Manual,76102,1,Petrol,50599,799,Zero downpayment,Pune,Maharashtra
4026,Maruti Alto K10,Maruti,VXI AMT ,2015,Automatic,58771,1,Petrol,58099,966,Zero downpayment,Pune,Maharashtra
4027,Hyundai Grand i10,Hyundai,SPORTZ 1.2 KAPPA VTVT ,2016,Manual,14765,1,Petrol,65499,355,Zero downpayment,Pune,Maharashtra
4028,Maruti Celerio,Maruti,ZXI ,2017,Manual,4520,1,Petrol,52099,57,Zero downpayment,Pune,Maharashtra
4029,Maruti Alto K10,Maruti,VXI ,2016,Manual,2427,1,Petrol,58199,968,Zero downpayment,Pune,Maharashtra
4030,Maruti Alto K10,Maruti,VXI ,2015,Manual,12341,2,Petrol,21299,147,Zero downpayment,Pune,Maharashtra
4031,Maruti Alto K10,Maruti,VXI AMT ,2015,Automatic,22269,1,Petrol,80499,464,Zero downpayment,Pune,Maharashtra
4032,Maruti Alto K10,Maruti,VXI (O) AMT ,2018,Automatic,14899,1,Petrol,15599,245,Zero downpayment,Pune,Maharashtra
4033,Maruti Alto 800,Maruti,LXI ,2018,Manual,27957,1,Petrol,50599,799,Zero downpayment,Pune,Maharashtra
4034,Maruti Alto 800,Maruti,LXI ,2017,Manual,22244,1,Petrol,25699,245,Zero downpayment,Pune,Maharashtra
4035,Maruti Alto 800,Maruti,LXI ,2016,Manual,27408,2,Petrol,16799,47,Zero downpayment,Pune,Maharashtra
4036,Maruti Alto 800,Maruti,LXI ,2017,Manual,15555,1,Petrol,33699,423,Zero downpayment,Pune,Maharashtra
4037,Maruti Alto 800,Maruti,LXI ,2017,Manual,11917,1,Petrol,33699,423,Zero downpayment,Pune,Maharashtra
4038,Maruti Alto 800,Maruti,LXI ,2018,Manual,24140,1,Petrol,50599,799,Zero downpayment,Pune,Maharashtra
4039,Maruti Alto K10,Maruti,VXI (O) AMT ,2017,Automatic,29955,1,Petrol,81399,484,Zero downpayment,Pune,Maharashtra
4040,Maruti Alto 800,Maruti,LXI ,2016,Manual,16659,2,Petrol,16799,47,Zero downpayment,Pune,Maharashtra
4041,Maruti Alto K10,Maruti,VXI AMT ,2015,Automatic,16097,1,Petrol,92099,722,Zero downpayment,Pune,Maharashtra
4042,Maruti Alto K10,Maruti,VXI (O) AMT ,2017,Automatic,25730,1,Petrol,10899,140,Zero downpayment,Pune,Maharashtra
4043,Maruti Alto K10,Maruti,VXI (O) AMT ,2017,Automatic,18572,1,Petrol,15199,236,Zero downpayment,Pune,Maharashtra
4044,Hyundai Xcent,Hyundai,SX 1.2 ,2014,Manual,30593,1,Petrol,46599,934,Zero downpayment,Pune,Maharashtra
4045,Maruti S Cross,Maruti,ZETA SHVS ,2017,Manual,69524,1,Diesel,16399,609,Zero downpayment,Pune,Maharashtra
4046,Maruti Baleno,Maruti,ZETA 1.2 K12 ,2016,Manual,36433,1,Petrol,43599,317,Zero downpayment,Pune,Maharashtra
4047,Ford Ecosport,Ford,1.5 TITANIUM TI VCT ,2017,Manual,24990,1,Petrol,14899,903,Zero downpayment,Pune,Maharashtra
4048,Honda Amaze,Honda,1.2 SX MT I VTEC ,2016,Manual,25484,1,Petrol,15999,478,Zero downpayment,Pune,Maharashtra
4049,Hyundai i20,Hyundai,GNA O 1.2 ,2012,Manual,31533,1,Petrol,71099,255,Zero downpayment,Pune,Maharashtra
4050,Maruti Alto K10,Maruti,VXI (O) AMT ,2018,Automatic,7877,1,Petrol,52099,57,Zero downpayment,Pune,Maharashtra
4051,Maruti Alto 800,Maruti,LXI ,2018,Manual,8465,1,Petrol,23699,201,Zero downpayment,Pune,Maharashtra
4052,Hyundai Creta,Hyundai,1.6 SX CRDI ,2018,Manual,54743,1,Diesel,61399,835,Zero downpayment,Pune,Maharashtra
4053,Hyundai i20,Hyundai,GNA O 1.4 CRDI ,2013,Manual,69163,1,Diesel,91099,700,Zero downpayment,Pune,Maharashtra
4054,Maruti Wagon R 1.0,Maruti,LXI ,2014,Manual,49652,1,Petrol,61399,39,Zero downpayment,Pune,Maharashtra
4055,Maruti Baleno,Maruti,ZETA 1.2 K12 ,2019,Manual,19543,1,Petrol,96799,500,Zero downpayment,Pune,Maharashtra
4056,Ford Figo,Ford,1.4 TITANIUM DURATORQ ,2011,Manual,157587,1,Diesel,73199,77,Zero downpayment,Pune,Maharashtra
4057,Hyundai VENUE,Hyundai,S MT 1.2 KAPPA ,2020,Manual,547,1,Petrol,88999,775,Zero downpayment,Pune,Maharashtra
4058,Ford Figo,Ford,1.4 TITANIUM DURATORQ ,2011,Manual,163778,2,Diesel,60099,786,Zero downpayment,Pune,Maharashtra
4059,Honda Jazz,Honda,1.2 BASE I VTEC ,2010,Manual,85656,3,Petrol,68599,975,Zero downpayment,Pune,Maharashtra
4060,Tata Manza,Tata,URA ABS QUADRAJET BS IV ,2012,Manual,68713,3,Diesel,34799,223,Zero downpayment,Pune,Maharashtra
4061,Hyundai i20 Active,Hyundai,1.2 S ,2016,Manual,41282,1,Petrol,47399,177,Zero downpayment,Pune,Maharashtra
